,SAMPLE_NAME,SPEAK,DISTR,NOISE,DISTR_SNR,NOISE_SNR,ECHO,PESQ,STOI,SDR,SISDR,ESTOI,DNSMOS-P808,DNSMOS-SIG,DNSMOS-BAK,DNSMOS-OVR
1733,005199,P299,2989,SPSQUARE,-8.0,-7.0,False,2.8156216144561768,0.9919725656509399,20.654632568359375,20.331378936767578,0.9427091479301453,3.6187919207981656,4.216583333419128,4.567836375997072,3.9388489112163896
1734,005202,P299,8465,NPARK,-3.0,-27.0,True,1.6792376041412354,0.9009023904800415,13.245774269104004,12.368480682373047,0.7970521450042725,2.916877235685076,3.675948938202622,4.443083986396963,3.3590476103215265
1735,005205,P299,8465,NPARK,-13.0,-10.0,False,3.472688913345337,0.9929353594779968,23.445308685302734,22.96120834350586,0.981830894947052,3.723353385925293,4.123846322941331,4.58934146244333,3.861001843072416
1736,005208,P308,8455,DKITCHEN,-10.0,-30.0,True,2.0905601978302,0.5358427166938782,15.39544677734375,12.206192016601562,0.42415380477905273,3.0251167161124095,3.312562808138112,4.359516299599526,3.0882021365962666
1737,005211,P308,8455,DKITCHEN,-2.0,-17.0,False,2.4735560417175293,0.6004837155342102,19.801355361938477,14.828628540039062,0.5151124000549316,3.329403672899519,3.6249821137690708,4.558327047015927,3.3576641509727843
1738,005214,P248,5808,DWASHING,-7.0,-3.0,True,2.3857858180999756,0.9831499457359314,16.12238883972168,14.276664733886719,0.9553869366645813,3.286710807255336,3.5264063251168616,2.7117144754212172,2.589690693308434
1739,005217,P248,5808,DWASHING,-14.0,-1.0,False,3.631181001663208,0.9981163740158081,25.543058395385742,25.030088424682617,0.9887634515762329,3.5726426669529507,3.9016239664201953,4.4587151812364345,3.639889904448098
1740,005220,P248,6529,DLIVING,-15.0,-10.0,True,1.8365081548690796,0.9611912369728088,16.52224349975586,15.202116012573242,0.908221423625946,3.346243517739432,3.156815552845553,4.152130437939567,2.9338480594847
1741,005223,P248,6529,DLIVING,-4.0,-5.0,False,2.725412607192993,0.9704632759094238,21.223268508911133,20.686260223388672,0.946074366569519,3.4032438823154996,3.4122544085485225,3.9619144507678152,3.1037371176052924
1742,005226,P260,2092,TMETRO,-5.0,-6.0,True,3.7451202869415283,0.994198739528656,22.07430076599121,19.48954200744629,0.9888729453086853,3.7767076832907542,4.317195617414724,4.640336005534885,4.081789237851131
1743,005229,P260,2092,TMETRO,-5.0,-20.0,False,3.0600225925445557,0.9861716032028198,16.94671630859375,16.59787940979004,0.9681908488273621,3.6450151034763882,4.20161257356346,4.605461421143978,3.956470721374399
1744,005232,P248,3879,TCAR,-1.0,-1.0,True,3.658508777618408,0.9925268292427063,22.63888931274414,20.631458282470703,0.9838662147521973,3.556192534310477,3.456599019773654,1.6526191819640896,1.828042541299208
1745,005235,P248,3879,TCAR,-9.0,-1.0,False,3.7045557498931885,0.992739200592041,21.503427505493164,21.290800094604492,0.9839913845062256,3.552781173161098,3.4808434878926144,1.6672367262643308,1.8520568180219839
1746,005238,P237,2002,OHALLWAY,-10.0,-19.0,True,1.5638353824615479,0.9288375377655029,17.25617218017578,15.155035018920898,0.7843402028083801,2.430037260055542,2.9698455721850614,3.915965041146568,2.6736396245669796
1747,005241,P237,2002,OHALLWAY,-10.0,-24.0,False,1.2969568967819214,0.9021076560020447,15.23415470123291,14.457441329956055,0.7355257272720337,2.4063347407749722,3.5662699295686386,4.328620526513591,3.309608180953692
1748,005244,P269,125,DLIVING,-12.0,-4.0,True,1.8491790294647217,0.9452976584434509,15.97873306274414,14.267505645751953,0.9107376933097839,2.834140266690935,3.3905537766081926,4.223223302596668,3.065622041010806
1749,005247,P269,125,DLIVING,-9.0,-25.0,False,1.739608883857727,0.8988174796104431,11.341845512390137,9.744365692138672,0.8336578011512756,2.7079499108450755,3.1725553526188897,4.375558311448332,2.8041446193049953
