,SAMPLE_NAME,SPEAK,DISTR,NOISE,DISTR_SNR,NOISE_SNR,ECHO,PESQ,STOI,SDR,SISDR,ESTOI,DNSMOS-P808,DNSMOS-SIG,DNSMOS-BAK,DNSMOS-OVR,PROCESSING_TIME
1667,005001,P237,7517,TBUS,-9.0,-9.0,False,3.936302900314331,0.9989985823631287,24.28022003173828,24.088727951049805,0.9926483631134033,3.5353081226348877,4.158340450706505,4.494798272636752,3.926520527276561,0.016507863998413086
1668,005004,P272,6930,PRESTO,-10.0,-25.0,True,1.4499152898788452,0.8144141435623169,7.153649806976318,6.069514751434326,0.5367876887321472,2.9493699414389476,3.4329099012774016,4.186142803466346,3.0982234286452313,0.016575336456298828
1669,005007,P272,6930,PRESTO,-10.0,-8.0,False,2.4717745780944824,0.974327802658081,18.824026107788086,18.476009368896484,0.8870899081230164,3.609577076775687,3.937064213296242,4.540077013658547,3.6975026001688676,0.01658463478088379
1670,005010,P237,1841,OHALLWAY,-9.0,-23.0,True,1.9513113498687744,0.9271642565727234,14.427072525024414,13.369958877563477,0.7658262252807617,2.70400561605181,3.2569846987713915,4.3745242556125925,3.1114356059126385,0.01655125617980957
1671,005013,P237,1841,OHALLWAY,-5.0,-24.0,False,2.2132575511932373,0.9550405740737915,14.858417510986328,14.464492797851562,0.8117902278900146,3.108685152871268,4.062300831875099,4.564181048553315,3.831804086859158,0.016520261764526367
1672,005016,P260,839,OOFFICE,-4.0,-26.0,True,2.4028210639953613,0.9739793539047241,14.474562644958496,13.180789947509766,0.9058189392089844,3.7013698986598422,3.915077954089809,4.498124182162921,3.7000415081564526,0.01659560203552246
1673,005019,P260,839,OOFFICE,-2.0,-12.0,False,3.6555750370025635,0.9977589249610901,23.44720458984375,22.64875030517578,0.9908955097198486,3.7854740960257396,4.207719983274141,4.579506553372586,3.997793270875935,0.016588926315307617
1674,005022,P295,4195,OOFFICE,-4.0,-3.0,True,4.200099468231201,0.9966894388198853,25.82548713684082,19.864662170410156,0.9886285066604614,2.9753573622022356,3.878515406012084,4.455299599522484,3.595565966852836,0.016589879989624023
1675,005025,P295,4195,OOFFICE,-3.0,-5.0,False,4.214389324188232,0.9998633861541748,31.701805114746094,31.388999938964844,0.9989138245582581,3.042323282786778,4.093862245109757,4.5610778148427515,3.8515683550687356,0.016505956649780273
1676,005028,P295,7517,NFIELD,-13.0,-20.0,True,2.864781141281128,0.9818091988563538,17.003385543823242,15.858470916748047,0.9528096914291382,3.4770897456577847,3.7589614716171202,4.440861018255657,3.466126421940955,0.016664743423461914
